architecture,uncertainty_level,mean_regret,std_regret,ci95_regret_low,ci95_regret_high,mean_ECE,std_ECE,ci95_ECE_low,ci95_ECE_high,mean_SHR,mean_OBR,mean_WMR,mean_EDI,mean_tokens,mean_latency,cohens_d_regret_vs_monolithic,cohens_d_ECE_vs_monolithic,cohens_d_vs_monolithic
Reflexion,medium,0.1903554937300195,0.10754326977455823,0.18598470259754882,0.19460162838447218,0.395982489973022,0.1185201041681005,0.39129065066838375,0.4011967685837363,0.007296137339055794,0.03690987124463519,0.20214592274678111,0.125554996923566,4301.9493562231755,2.1036094532427394,-0.25350886253065785,-0.08160079847142425,-0.25350886253065785
Reflexion,high,0.19228249284074075,0.10286124528578525,0.18032036744939162,0.20608846186572577,0.41244893164751606,0.09985739500603358,0.4007663415990122,0.42329114902404236,0.0,0.11363636363636363,0.20454545454545456,0.1425164639507309,4246.777272727273,2.1007934351936686,-0.35939708084434235,-0.22458748884617552,-0.35939708084434235
Debate,low,0.1929440498345753,0.11393703560974405,0.1881219496224708,0.1966177260705243,0.3905564138733006,0.14610470645327875,0.3850393221952178,0.3959758330547458,0.05673469387755102,0.015102040816326531,0.23469387755102042,0.123455894551208,5195.317959183673,2.646017677554625,-0.07896537015925527,0.04704018250071783,-0.07896537015925527
Debate,medium,0.18836186009343428,0.1076713991542279,0.18439348789345372,0.19298829212286223,0.3980179369026758,0.12007699946307178,0.3931359631653821,0.4027647876604643,0.018025751072961373,0.02832618025751073,0.20643776824034335,0.12649344236904336,5206.5364806866955,2.646062762480366,-0.2713595001712478,-0.06476467200690143,-0.2713595001712478
Debate,high,0.1894892368945736,0.11284666934897702,0.17523784162202777,0.20605827543262248,0.4209661231169595,0.10340003096908278,0.40987871928721115,0.4351480210355044,0.0,0.06363636363636363,0.21818181818181817,0.13994172846097439,5196.277272727273,2.6392556935825704,-0.3689926825480426,-0.1459879850300195,-0.3689926825480426
Multi-Agent (A0 full),low,0.2015934345723437,0.124202495871393,0.19733195892660865,0.20617311966280258,0.4010752563656465,0.16113525253217167,0.3953963586338159,0.4074796507092925,0.09673469387755101,0.008571428571428572,0.28530612244897957,0.14453536212846144,5593.913469387755,2.449388831942015,-0.0015771903424020475,0.11501775021936722,-0.0015771903424020475
Multi-Agent (A0 full),medium,0.19468584026311236,0.11633183985558034,0.19058668891744918,0.1992121653207268,0.40539628251521365,0.12844977964515,0.4008140893584387,0.41151744420637887,0.03133047210300429,0.023605150214592276,0.24678111587982832,0.13924518998276572,5623.112875536481,2.4442230209620432,-0.20628946955112112,-0.005335752417282781,-0.20628946955112112
Multi-Agent (A0 full),high,0.18471604110599296,0.10800852718922034,0.1716512826593325,0.19876975750663664,0.41923011953226963,0.1052996447718565,0.40759620806521835,0.435035703303614,0.02727272727272727,0.05,0.21818181818181817,0.14138865869741238,5584.145454545454,2.4666803163614697,-0.41633478343915997,-0.16011867846732883,-0.41633478343915997
A1,low,0.20175504200074393,0.12327414370107939,0.1972130521258239,0.20621795894235898,0.40176188183269324,0.16004371864022157,0.39503468584502976,0.40857924453271655,0.09714285714285714,0.010612244897959184,0.2804081632653061,0.1434055945175586,5528.6289795918365,2.382655040996525,-0.00019924627495151922,0.12009205787418606,-0.00019924627495151922
A1,medium,0.19418616306620018,0.11516507259809275,0.19041686709053676,0.19893734824753798,0.40478746807171556,0.1280949393948417,0.3986848465380152,0.4092628417258869,0.0296137339055794,0.02188841201716738,0.24506437768240344,0.13851372211999485,5530.623605150215,2.391970136216518,-0.21171291259766553,-0.01008258801378789,-0.21171291259766553
A1,high,0.17959105869892275,0.10677508282159878,0.16788885155102534,0.19499297806492996,0.4097555170581708,0.1053409453966247,0.39548017677667185,0.4254231111491514,0.0,0.031818181818181815,0.19545454545454546,0.13070125134713448,5486.145454545454,2.3691235214740747,-0.46186224843453255,-0.243317872678856,-0.46186224843453255
A2,low,0.19761418664603095,0.12078284627744355,0.1932045614540026,0.202500461685841,0.3965512027642609,0.15318303314592605,0.38993545097978805,0.40138026703179747,0.07591836734693877,0.013061224489795919,0.2636734693877551,0.135093093894485,5452.341224489796,2.331396130943694,-0.03608107559883534,0.08718524731246691,-0.03608107559883534
A2,medium,0.18939345091807067,0.11257801966044048,0.18462481189368343,0.1939464285273315,0.400416874625441,0.12409142298732971,0.39556758994889935,0.4051623379510302,0.026180257510729613,0.017167381974248927,0.22274678111587984,0.13158571188759763,5447.391416309013,2.3316410731322823,-0.2564659391253912,-0.04479722930828608,-0.2564659391253912
A2,high,0.18440311128576986,0.1068650364636082,0.16859883500028505,0.19943517882089068,0.4127536852758784,0.10312429175616636,0.4002961365637393,0.4246448152399819,0.013636363636363636,0.031818181818181815,0.20454545454545456,0.13522559549694418,5470.463636363636,2.32795119621931,-0.4208331450812953,-0.21894200233726316,-0.4208331450812953
A3,low,0.19563002000907748,0.11801430602514047,0.1916849259003028,0.20010123490892595,0.39432785657519503,0.15274425676968034,0.3890719723185314,0.40000871422707834,0.07102040816326531,0.015510204081632653,0.2546938775510204,0.1323047897339578,5363.004897959184,2.2673181527330493,-0.05394705847199908,0.07196603250063859,-0.05394705847199908
A3,medium,0.19179012724548355,0.11238685477634902,0.18664976031964678,0.19580497936210567,0.4028145359370028,0.12382002593309614,0.3982546273498592,0.40798316761235726,0.02188841201716738,0.027896995708154508,0.22660944206008585,0.13300758953875727,5353.1030042918455,2.270164019657796,-0.2354938301903759,-0.025866959814866437,-0.2354938301903759
A3,high,0.1748035354849679,0.0986838896554875,0.1646556712867969,0.1885269229863182,0.40981505562142834,0.09943886105367906,0.39841171113805235,0.42349486624382887,0.0,0.045454545454545456,0.17272727272727273,0.12576552801048024,5362.013636363637,2.2888352317453107,-0.5183268092093056,-0.24866154701354426,-0.5183268092093056
A4,low,0.19241141973807796,0.11533093707109103,0.18806190443854018,0.19721833776918143,0.3895201479255268,0.14754883659808068,0.38422325640270005,0.3957528309580485,0.06408163265306123,0.013877551020408163,0.23183673469387756,0.12436062040691018,5281.20693877551,2.2033802126817097,-0.08319691905795383,0.039496816916149056,-0.08319691905795383
A4,medium,0.19399569059923502,0.11088883005566584,0.18915405496785126,0.19902988829193155,0.40240374598696554,0.12400770665898934,0.39726542337800197,0.40797096596687427,0.02188841201716738,0.0296137339055794,0.22832618025751072,0.13405062092123335,5273.966094420601,2.2084654279694087,-0.21742133672045152,-0.029097166971686152,-0.21742133672045152
A4,high,0.18279642835401833,0.10910230438460544,0.17100419740759254,0.19731004834702007,0.41398551643158055,0.10286111244060733,0.4014301911196076,0.4267048408645888,0.01818181818181818,0.07272727272727272,0.20909090909090908,0.14200703354185454,5286.218181818182,2.214192355243632,-0.43074189153582065,-0.20824552652002049,-0.43074189153582065
A5,low,0.19211711737950132,0.1157739739348043,0.18716271840409246,0.19564470778824072,0.3908197273887297,0.1468547978239264,0.38431503499477554,0.3966282527014889,0.054693877551020405,0.018775510204081632,0.2342857142857143,0.12439806319341767,5200.717551020408,2.1577396025406275,-0.0856381622136688,0.04876976129478286,-0.0856381622136688
A5,medium,0.18873015572488158,0.10973424425696426,0.18440149289569702,0.19300466131353597,0.39901449179970505,0.11910182283715177,0.39380980513352953,0.40312209228361784,0.012875536480686695,0.03261802575107296,0.21244635193133046,0.12866684900547024,5182.381974248927,2.1455631703060156,-0.26562070545730715,-0.056976365598915175,-0.26562070545730715
A5,high,0.17078735125320088,0.09201389304971945,0.16063564514219292,0.18277497333224973,0.4062926537547324,0.09228998972344685,0.39362946141311034,0.4193015314734637,0.00909090909090909,0.05454545454545454,0.1409090909090909,0.11870254277470231,5243.904545454546,2.170642286017283,-0.5675523934118788,-0.2884645553706119,-0.5675523934118788
A6,low,0.18895640923579965,0.11071692016815242,0.18468472656246013,0.19351495689049975,0.3867470870369209,0.1430731594548139,0.3815563866957926,0.39188664466661627,0.05714285714285714,0.022040816326530613,0.21836734693877552,0.12011887679115558,5103.077959183674,2.091594463408909,-0.1163019477482943,0.020303818782790372,-0.1163019477482943
A6,medium,0.1891157188035003,0.10788589274017757,0.18436176106734747,0.19322939071290257,0.3977328189500559,0.1190812465175239,0.3935045948711594,0.4019211750842424,0.018454935622317595,0.03733905579399142,0.2034334763948498,0.12782571491842612,5120.999141630901,2.083045048945068,-0.26430700405999197,-0.06731329963562828,-0.26430700405999197
A6,high,0.19166156344138552,0.107723383776054,0.1791037100118887,0.20635190210292775,0.41428167586639975,0.1018164928145467,0.40272631350527804,0.4270013856817569,0.0,0.07272727272727272,0.20454545454545456,0.13885020674449125,5162.686363636363,2.063549827314317,-0.35799959386772634,-0.20648851739831414,-0.35799959386772634
A7,low,0.19116647558704136,0.11056481126984465,0.18666441635117412,0.19556706025523143,0.3859848884308329,0.1403619812042211,0.3804084747561323,0.39209319282595684,0.045306122448979594,0.024489795918367346,0.21346938775510205,0.11714782659213316,5055.069795918367,2.0306697268828318,-0.0963220767469036,0.014997439592803294,-0.0963220767469036
A7,medium,0.1894967112842172,0.10671588615042223,0.1851810286322164,0.19403393178048936,0.39739632643959927,0.11764329879358366,0.39283471982560847,0.40277117368188736,0.01201716738197425,0.04463519313304721,0.19957081545064378,0.12662652483193318,5034.4072961373395,2.033093951014889,-0.26221330732875275,-0.07041651460329841,-0.26221330732875275
A7,high,0.1863164924241525,0.103930432104327,0.17368045894263479,0.19818354384371,0.4113369955635705,0.09530610098294341,0.3984647042338411,0.42393114656945885,0.004545454545454545,0.07727272727272727,0.18636363636363637,0.13433917799295278,5084.986363636363,2.0391818263537607,-0.40917286166450473,-0.2388921105769728,-0.40917286166450473
A8,low,0.18704751867849617,0.10822690550960183,0.18259233578090844,0.19148406741725219,0.38197229028093493,0.13526405846544715,0.37729622450435524,0.387041652385284,0.03469387755102041,0.027755102040816326,0.19510204081632654,0.11096008444975046,4945.392653061224,1.9714283457020065,-0.13514069465282721,-0.014269819417988326,-0.13514069465282721
A8,medium,0.18859243668509182,0.1061071290536422,0.1846989210557397,0.1932228907764425,0.39360741548413036,0.11575949213806146,0.3891199553477135,0.39782601709809456,0.00944206008583691,0.04935622317596566,0.19098712446351931,0.12489532817746271,4963.900858369098,1.9684525298140934,-0.2711311665679023,-0.10187029306912854,-0.2711311665679023
A8,high,0.18529327255724806,0.10368313278782111,0.17425164302103616,0.19799694057854691,0.40854139233653436,0.09930639015624496,0.3951210096337109,0.42237287870205276,0.0,0.05909090909090909,0.18181818181818182,0.13177856519766623,4989.045454545455,1.9540845298167053,-0.41835808520741263,-0.26025857754249465,-0.41835808520741263
A9,low,0.18740643131339357,0.10776827090529725,0.18264255519484468,0.19162503929408267,0.3813356868512523,0.13533358642710566,0.376463201643565,0.38639555925657043,0.03510204081632653,0.02816326530612245,0.19428571428571428,0.11118385031299584,4868.064897959183,1.9038239282453264,-0.13212369765376666,-0.018953176736816853,-0.13212369765376666
A9,medium,0.18914405947680238,0.10647271562089107,0.18454132970770773,0.19398709287215254,0.39407090097397446,0.11553759879644016,0.38980460668274564,0.39853834165762725,0.006437768240343348,0.04978540772532189,0.1892703862660944,0.12427100928725039,4897.455364806867,1.9082998378726364,-0.2656924340869294,-0.09816958463102264,-0.2656924340869294
A9,high,0.19572565382013232,0.10835745564049394,0.17985134340178904,0.21105380880210195,0.41495061923399174,0.10234209976250001,0.40094479056658,0.42759172592931577,0.0,0.08181818181818182,0.20909090909090908,0.1421755176412624,4874.513636363637,1.9078938470079962,-0.32280581210990583,-0.2001021278038937,-0.32280581210990583
A10,low,0.19407916359561542,0.11014710537783609,0.18954795314085818,0.19872638645428867,0.38735812153104515,0.13910530412287012,0.38064733497597764,0.39329455065893587,0.02979591836734694,0.03877551020408163,0.216734693877551,0.11794162332807896,4799.108979591837,1.8425646104137232,-0.0700170852304443,0.025038238594368198,-0.0700170852304443
A10,medium,0.18811551165517437,0.10276080093246016,0.18430314316899712,0.19181574804384233,0.392253745968442,0.11550168177967937,0.3878882421811324,0.39753537041210835,0.01072961373390558,0.04592274678111588,0.17982832618025751,0.12238541407572205,4814.509442060086,1.8514526386239036,-0.2795281503595222,-0.11303650500487285,-0.2795281503595222
A10,high,0.1929917588711513,0.105769561230163,0.17921242920446515,0.20615665296165603,0.420875806186557,0.10326214118844251,0.4058652699442285,0.4343856752078255,0.0,0.11363636363636363,0.22727272727272727,0.15035488669270322,4814.609090909091,1.8377328907465205,-0.34935990089269575,-0.14686965393623888,-0.34935990089269575
A11,low,0.18982221482152878,0.10685818480940151,0.18581403883233483,0.19382171392003353,0.38295833512425753,0.13513337466451364,0.37776130637175537,0.3882438251363736,0.02326530612244898,0.03836734693877551,0.19755102040816327,0.11164810627035211,4725.184489795918,1.7834464740941918,-0.1103713270836415,-0.0070115676304109776,-0.1103713270836415
A11,medium,0.19597716296054402,0.10747007787149272,0.19156648466596685,0.2001443466334842,0.39720424170412344,0.11981150008214099,0.3918176642466301,0.40238292697963657,0.006437768240343348,0.06351931330472103,0.2055793991416309,0.13135131695672708,4700.747210300429,1.7918271536039703,-0.2028084822632373,-0.07137249027749917,-0.2028084822632373
A11,high,0.19358132635711456,0.11063864364656317,0.18098097870530855,0.20820563521477986,0.4160994164776099,0.10396129991730996,0.4029880740578606,0.42887124703137736,0.0,0.1,0.21818181818181817,0.14725849383902911,4693.586363636364,1.774979706168368,-0.3379170480059575,-0.1886460412617639,-0.3379170480059575
