perturbation,architecture,rank,mean_regret,kendall_tau_vs_baseline
temperature_scale_0.8,RAG-Monolithic,8,0.5604529008845756,0.6617647058823529
temperature_scale_0.8,A11,9,0.5614338767670786,0.6617647058823529
temperature_scale_0.8,A5,10,0.5633476867456421,0.6617647058823529
temperature_scale_0.8,Debate,11,0.5644948028036684,0.6617647058823529
temperature_scale_0.8,A4,12,0.5681522118673556,0.6617647058823529
temperature_scale_0.8,A3,13,0.57128809039769,0.6617647058823529
temperature_scale_0.8,A2,14,0.571690600722083,0.6617647058823529
temperature_scale_0.8,A1,15,0.5812661237247093,0.6617647058823529
temperature_scale_0.8,Multi-Agent (A0 full),16,0.5821915429283142,0.6617647058823529
temperature_scale_0.8,Monolithic,17,0.5865475875989463,0.6617647058823529
temperature_scale_1.0,A8,1,0.5762535627563052,0.7058823529411764
temperature_scale_1.0,A9,2,0.57733156548512,0.7058823529411764
temperature_scale_1.0,Reflexion,3,0.582030594580344,0.7058823529411764
temperature_scale_1.0,Sequential,4,0.5820590338543694,0.7058823529411764
temperature_scale_1.0,A6,5,0.5822276342963327,0.7058823529411764
temperature_scale_1.0,A10,6,0.5823665166272081,0.7058823529411764
temperature_scale_1.0,RAG-Monolithic,7,0.5825357501846392,0.7058823529411764
temperature_scale_1.0,A7,8,0.5825930774195167,0.7058823529411764
temperature_scale_1.0,A11,9,0.5839109567318982,0.7058823529411764
temperature_scale_1.0,A5,10,0.5849195799032396,0.7058823529411764
temperature_scale_1.0,Debate,11,0.586028248457554,0.7058823529411764
temperature_scale_1.0,A4,12,0.5893270111749022,0.7058823529411764
temperature_scale_1.0,A3,13,0.5918883505780136,0.7058823529411764
temperature_scale_1.0,A2,14,0.592267551563032,0.7058823529411764
temperature_scale_1.0,A1,15,0.600776254121965,0.7058823529411764
temperature_scale_1.0,Multi-Agent (A0 full),16,0.6015195588423987,0.7058823529411764
temperature_scale_1.0,Monolithic,17,0.6075514577365315,0.7058823529411764
temperature_scale_1.2,A8,1,0.5929497435262309,0.7499999999999999
temperature_scale_1.2,A9,2,0.5939835572021523,0.7499999999999999
temperature_scale_1.2,A6,3,0.5981844807743547,0.7499999999999999
temperature_scale_1.2,Reflexion,4,0.5982566237382901,0.7499999999999999
temperature_scale_1.2,Sequential,5,0.5985109141957652,0.7499999999999999
temperature_scale_1.2,RAG-Monolithic,6,0.5985585247449756,0.7499999999999999
temperature_scale_1.2,A10,7,0.598641388444918,0.7499999999999999
temperature_scale_1.2,A7,8,0.5986838766563433,0.7499999999999999
temperature_scale_1.2,A11,9,0.6001857467684576,0.7499999999999999
temperature_scale_1.2,A5,10,0.6005468371112356,0.7499999999999999
temperature_scale_1.2,Debate,11,0.6016365741004438,0.7499999999999999
temperature_scale_1.2,A4,12,0.6047081853308206,0.7499999999999999
temperature_scale_1.2,A3,13,0.6068768136518685,0.7499999999999999
temperature_scale_1.2,A2,14,0.6072436414346639,0.7499999999999999
temperature_scale_1.2,A1,15,0.6150230613777673,0.7499999999999999
temperature_scale_1.2,Multi-Agent (A0 full),16,0.615664944180618,0.7499999999999999
temperature_scale_1.2,Monolithic,17,0.6228607503147505,0.7499999999999999
clipping_bound_x_0.8,A8,1,0.18769026364023483,0.9999999999999999
clipping_bound_x_0.8,A9,2,0.1885822118278386,0.9999999999999999
clipping_bound_x_0.8,A6,3,0.18914967427939394,0.9999999999999999
clipping_bound_x_0.8,A5,4,0.1896002835388913,0.9999999999999999
clipping_bound_x_0.8,RAG-Monolithic,5,0.19010989983613444,0.9999999999999999
clipping_bound_x_0.8,A7,6,0.1901749661627582,0.9999999999999999
clipping_bound_x_0.8,Debate,7,0.1906567376458435,0.9999999999999999
clipping_bound_x_0.8,Reflexion,8,0.1906687418235404,0.9999999999999999
clipping_bound_x_0.8,A10,9,0.19125225598349346,0.9999999999999999
clipping_bound_x_0.8,Sequential,10,0.1921337417893712,0.9999999999999999
clipping_bound_x_0.8,A4,11,0.19272663033847853,0.9999999999999999
clipping_bound_x_0.8,A11,12,0.19285582156187567,0.9999999999999999
clipping_bound_x_0.8,A3,13,0.1929242646621819,0.9999999999999999
clipping_bound_x_0.8,A2,14,0.19320203648095,0.9999999999999999
clipping_bound_x_0.8,A1,15,0.19725272915196643,0.9999999999999999
clipping_bound_x_0.8,Multi-Agent (A0 full),16,0.19763189031172246,0.9999999999999999
clipping_bound_x_0.8,Monolithic,17,0.21095303259337925,0.9999999999999999
clipping_bound_x_1.2,A8,1,0.18769026364023483,0.9999999999999999
clipping_bound_x_1.2,A9,2,0.1885822118278386,0.9999999999999999
clipping_bound_x_1.2,A6,3,0.18914967427939394,0.9999999999999999
clipping_bound_x_1.2,A5,4,0.1896002835388913,0.9999999999999999
clipping_bound_x_1.2,RAG-Monolithic,5,0.19010989983613444,0.9999999999999999
clipping_bound_x_1.2,A7,6,0.1901749661627582,0.9999999999999999
clipping_bound_x_1.2,Debate,7,0.1906567376458435,0.9999999999999999
clipping_bound_x_1.2,Reflexion,8,0.1906687418235404,0.9999999999999999
clipping_bound_x_1.2,A10,9,0.19125225598349346,0.9999999999999999
clipping_bound_x_1.2,Sequential,10,0.1921337417893712,0.9999999999999999
clipping_bound_x_1.2,A4,11,0.19272663033847853,0.9999999999999999
clipping_bound_x_1.2,A11,12,0.19285582156187567,0.9999999999999999
clipping_bound_x_1.2,A3,13,0.1929242646621819,0.9999999999999999
clipping_bound_x_1.2,A2,14,0.19320203648095,0.9999999999999999
clipping_bound_x_1.2,A1,15,0.19725272915196643,0.9999999999999999
clipping_bound_x_1.2,Multi-Agent (A0 full),16,0.19763189031172246,0.9999999999999999
clipping_bound_x_1.2,Monolithic,17,0.21095303259337925,0.9999999999999999
