perturbation,architecture,rank,mean_score,kendall_tau_vs_baseline,lambda,clipping_bound,p_hat_temperature
lambda_0.5_clip_0.8_temp_1.0,A5,10,0.3993149079374888,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,Debate,11,0.4012516211026275,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,Monolithic,12,0.40135825222128735,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,A4,13,0.4029587321964746,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,A3,14,0.4077954470744638,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,A2,15,0.4096493342767694,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,A1,16,0.4122435787223749,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.0,Multi-Agent (A0 full),17,0.41999647739779555,0.9411764705882352,0.5,0.8,1.0
lambda_0.5_clip_0.8_temp_1.2,A11,1,0.39717830883668254,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,A9,2,0.39827140703217995,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,A10,3,0.39923329213548997,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,Sequential,4,0.3992889000507701,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,A7,5,0.39967481217318995,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,A6,6,0.4009995891851897,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,Reflexion,7,0.40192286332271515,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,A8,8,0.40351539832986943,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,RAG-Monolithic,9,0.40526706897489156,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,A5,10,0.40648481407547427,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,Debate,11,0.4083257419204085,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,Monolithic,12,0.4090040393693893,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,A4,13,0.40993908559611075,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,A3,14,0.4145157880145485,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,A2,15,0.41630762358460627,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,A1,16,0.4187353020970286,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.2,Multi-Agent (A0 full),17,0.4260590907430711,0.9411764705882352,0.5,0.8,1.2
lambda_0.5_clip_0.8_temp_1.5,A11,1,0.40539093163230233,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,A9,2,0.40641416408040537,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,A10,3,0.4073925236042556,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,Sequential,4,0.40751028553554536,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,A7,5,0.40765337019136366,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,A6,6,0.40887195630726914,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,Reflexion,7,0.40990777079540075,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,A8,8,0.41145119007605563,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,RAG-Monolithic,9,0.41307443157657525,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,A5,10,0.4141722751007433,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,Debate,11,0.41592530093166225,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,Monolithic,12,0.41721580703917155,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,A4,13,0.4174439984703311,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,A3,14,0.4217565882503082,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,A2,15,0.42349445364344274,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,A1,16,0.4257568882071684,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_0.8_temp_1.5,Multi-Agent (A0 full),17,0.43263992964452663,0.9411764705882352,0.5,0.8,1.5
lambda_0.5_clip_1.0_temp_0.8,A11,1,0.3789734594045947,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,A9,2,0.380262879683116,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,Sequential,3,0.3810869822514468,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,A10,4,0.3811401708001421,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,A7,5,0.38207876715385153,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,A6,6,0.38363189442980566,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,Reflexion,7,0.3843253231425459,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,A8,8,0.3860205192724291,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,RAG-Monolithic,9,0.38813501679599816,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,A5,10,0.3895835401130674,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,Monolithic,11,0.3910041018584736,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,Debate,12,0.3916772248673572,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,A4,13,0.3935217940928645,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,A3,14,0.39873929894934806,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,A2,15,0.4006994834912544,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,A1,16,0.4035410368143883,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_0.8,Multi-Agent (A0 full),17,0.41191236483844784,0.9117647058823529,0.5,1.0,0.8
lambda_0.5_clip_1.0_temp_1.0,A11,1,0.38948396092162324,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,A9,2,0.39065233104072206,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,A10,3,0.3915869911847842,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,Sequential,4,0.39159143861737117,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,A7,5,0.3922208001520556,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,A6,6,0.39364335504939785,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,Reflexion,7,0.39446569903157797,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,A8,8,0.39610255170839237,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,RAG-Monolithic,9,0.39799312303094636,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,A5,10,0.3993149079374888,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,Debate,11,0.4012516211026275,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,Monolithic,12,0.40135825222128735,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,A4,13,0.4029587321964746,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,A3,14,0.4077954470744638,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,A2,15,0.4096493342767694,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,A1,16,0.4122435787223749,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.0,Multi-Agent (A0 full),17,0.41999647739779555,0.9411764705882352,0.5,1.0,1.0
lambda_0.5_clip_1.0_temp_1.2,A11,1,0.39717830883668254,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,A9,2,0.39827140703217995,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,A10,3,0.39923329213548997,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,Sequential,4,0.3992889000507701,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,A7,5,0.39967481217318995,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,A6,6,0.4009995891851897,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,Reflexion,7,0.40192286332271515,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,A8,8,0.40351539832986943,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,RAG-Monolithic,9,0.40526706897489156,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,A5,10,0.40648481407547427,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,Debate,11,0.4083257419204085,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,Monolithic,12,0.4090040393693893,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,A4,13,0.40993908559611075,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,A3,14,0.4145157880145485,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,A2,15,0.41630762358460627,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,A1,16,0.4187353020970286,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.2,Multi-Agent (A0 full),17,0.4260590907430711,0.9411764705882352,0.5,1.0,1.2
lambda_0.5_clip_1.0_temp_1.5,A11,1,0.40539093163230233,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,A9,2,0.40641416408040537,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,A10,3,0.4073925236042556,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,Sequential,4,0.40751028553554536,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,A7,5,0.40765337019136366,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,A6,6,0.40887195630726914,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,Reflexion,7,0.40990777079540075,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,A8,8,0.41145119007605563,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,RAG-Monolithic,9,0.41307443157657525,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,A5,10,0.4141722751007433,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,Debate,11,0.41592530093166225,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,Monolithic,12,0.41721580703917155,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,A4,13,0.4174439984703311,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,A3,14,0.4217565882503082,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,A2,15,0.42349445364344274,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,A1,16,0.4257568882071684,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.0_temp_1.5,Multi-Agent (A0 full),17,0.43263992964452663,0.9411764705882352,0.5,1.0,1.5
lambda_0.5_clip_1.2_temp_0.8,A11,1,0.3789734594045947,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,A9,2,0.380262879683116,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,Sequential,3,0.3810869822514468,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,A10,4,0.3811401708001421,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,A7,5,0.38207876715385153,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,A6,6,0.38363189442980566,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,Reflexion,7,0.3843253231425459,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,A8,8,0.3860205192724291,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,RAG-Monolithic,9,0.38813501679599816,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,A5,10,0.3895835401130674,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,Monolithic,11,0.3910041018584736,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,Debate,12,0.3916772248673572,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,A4,13,0.3935217940928645,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,A3,14,0.39873929894934806,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,A2,15,0.4006994834912544,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,A1,16,0.4035410368143883,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_0.8,Multi-Agent (A0 full),17,0.41191236483844784,0.9117647058823529,0.5,1.2,0.8
lambda_0.5_clip_1.2_temp_1.0,A11,1,0.38948396092162324,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,A9,2,0.39065233104072206,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,A10,3,0.3915869911847842,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,Sequential,4,0.39159143861737117,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,A7,5,0.3922208001520556,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,A6,6,0.39364335504939785,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,Reflexion,7,0.39446569903157797,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,A8,8,0.39610255170839237,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,RAG-Monolithic,9,0.39799312303094636,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,A5,10,0.3993149079374888,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,Debate,11,0.4012516211026275,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,Monolithic,12,0.40135825222128735,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,A4,13,0.4029587321964746,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,A3,14,0.4077954470744638,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,A2,15,0.4096493342767694,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,A1,16,0.4122435787223749,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.0,Multi-Agent (A0 full),17,0.41999647739779555,0.9411764705882352,0.5,1.2,1.0
lambda_0.5_clip_1.2_temp_1.2,A11,1,0.39717830883668254,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,A9,2,0.39827140703217995,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,A10,3,0.39923329213548997,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,Sequential,4,0.3992889000507701,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,A7,5,0.39967481217318995,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,A6,6,0.4009995891851897,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,Reflexion,7,0.40192286332271515,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,A8,8,0.40351539832986943,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,RAG-Monolithic,9,0.40526706897489156,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,A5,10,0.40648481407547427,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,Debate,11,0.4083257419204085,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,Monolithic,12,0.4090040393693893,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,A4,13,0.40993908559611075,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,A3,14,0.4145157880145485,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,A2,15,0.41630762358460627,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,A1,16,0.4187353020970286,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.2,Multi-Agent (A0 full),17,0.4260590907430711,0.9411764705882352,0.5,1.2,1.2
lambda_0.5_clip_1.2_temp_1.5,A11,1,0.40539093163230233,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,A9,2,0.40641416408040537,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,A10,3,0.4073925236042556,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,Sequential,4,0.40751028553554536,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,A7,5,0.40765337019136366,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,A6,6,0.40887195630726914,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,Reflexion,7,0.40990777079540075,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,A8,8,0.41145119007605563,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,RAG-Monolithic,9,0.41307443157657525,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,A5,10,0.4141722751007433,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,Debate,11,0.41592530093166225,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,Monolithic,12,0.41721580703917155,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,A4,13,0.4174439984703311,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,A3,14,0.4217565882503082,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,A2,15,0.42349445364344274,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,A1,16,0.4257568882071684,0.9411764705882352,0.5,1.2,1.5
lambda_0.5_clip_1.2_temp_1.5,Multi-Agent (A0 full),17,0.43263992964452663,0.9411764705882352,0.5,1.2,1.5
lambda_1.0_clip_0.8_temp_0.8,A11,1,0.566031545526282,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,A9,2,0.5678174496284851,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,Sequential,3,0.5680623776640499,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,A10,4,0.5686252663920838,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,A7,5,0.57085339536334,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,Reflexion,6,0.5730443379978786,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,A6,7,0.5732301813706171,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,A8,8,0.5751284052723026,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,Monolithic,9,0.5778850083071043,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,RAG-Monolithic,10,0.5781496512565958,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,A5,11,0.5805526157487274,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,Debate,12,0.5832712163714652,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,A4,13,0.5858222492366887,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,A3,14,0.5930259263619931,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,A2,15,0.5953545013233915,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,A1,16,0.5994048690676987,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_0.8,Multi-Agent (A0 full),17,0.6111018314170489,0.8676470588235293,1.0,0.8,0.8
lambda_1.0_clip_0.8_temp_1.0,A11,1,0.587052548560339,0.8970588235294118,1.0,0.8,1.0
lambda_1.0_clip_0.8_temp_1.0,A9,2,0.5885963523436973,0.8970588235294118,1.0,0.8,1.0
lambda_1.0_clip_0.8_temp_1.0,Sequential,3,0.5890712903958987,0.8970588235294118,1.0,0.8,1.0
lambda_1.0_clip_0.8_temp_1.0,A10,4,0.5895189071613679,0.8970588235294118,1.0,0.8,1.0
